chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv
chr11	119018168	119019405	RPS25	TRAPPC4	-	+	71	divergent_classic	119018691	119018762	1.0	58.4	91.0	11	1.0	37.87030874249265	0.5817406330897414	11	1.0	13.13127141877277	0.5728152466386028
chr11	126211474	126212133	RPUSD4	FAM118B	-	+	31	divergent_classic	126211692	126211723	1.0	64.0	59.0	11	1.0	30.91024208980554	0.5037481339159877	11	1.0	7.184734001134234	0.5841372740903545
chr11	126268464	126269271	FOXRED1	SRPRA	+	-	121	divergent_overlapping	126269023	126269144	1.0	65.7	78.0	11	1.0	27.509685182189642	0.4678403998427138	11	1.0	14.943550293836275	0.5441157344010938
chr12	388932	389371	CCDC77	KDM5A	+	-	48	divergent_overlapping	389272	389320	1.0	61.3	37.0	11	1.0	38.444207722633664	0.3617873095405734	11	1.0	21.837521853023677	0.4871462413982639
chr12	990053	991136	RAD52	ERC1	-	+	455	divergent_classic	990053	990508	0.6879039704524469	64.8	81.0	11	1.0	26.429009696579598	0.5671229992755946	10	0.9090909090909091	24.15742081256034	0.8484739176643468
chr12	6493194	6494140	NCAPD2	MRPL51	+	-	486	divergent_overlapping	6493355	6493841	0.5116279069767442	65.25	25.0	11	1.0	25.301713966791077	0.6160963389336667	11	1.0	16.57998189614328	0.4959874787164338
chr12	6765515	6767757	PTMS	MLF2	+	-	1960	divergent_overlapping	6765515	6767475	0.6021409455842998	71.7	158.0	11	1.0	19.189565735092916	0.4278115614329513	10	0.9090909090909091	5.6298995292129685	0.7814674134975577
chr12	6970337	6970966	PHB2	EMG1	-	+	132	divergent_classic	6970780	6970912	1.0	63.3	52.0	11	1.0	26.02982469897236	0.538835874376338	11	1.0	11.768531922619406	0.4771233239396832
chr12	21501669	21502022	RECQL	GOLT1B	-	+	111	divergent_classic	21501669	21501780	0.886685552407932	62.9	29.0	11	1.0	25.063294138267977	0.42609720641397475	11	1.0	14.50183598768295	0.7718565004834563
chr12	26938225	26938924	INTS13	FGFR1OP2	-	+	143	divergent_classic	26938326	26938469	1.0	65.8	65.0	11	1.0	29.046604909208266	0.5121350644483524	11	1.0	16.011771128788702	0.46741864292622837
chr12	42237422	42238817	YAF2	PPHLN1	-	+	97	divergent_classic	42238349	42238446	1.0	62.9	136.0	11	1.0	25.435368380400917	0.6419471082064074	10	0.9090909090909091	8.934991365194815	0.6562323162254692
chr12	48105138	48106449	PFKM	SENP1	+	-	941	divergent_overlapping	48105138	48106079	0.5865751334858886	64.8	65.0	11	1.0	34.99574706235771	0.45954987830548166	11	1.0	22.31188619341659	0.5941693964219198
chr12	49188313	49189098	TUBA1C	TUBA1A	+	-	345	divergent_overlapping	49188735	49189080	1.0	63.2	67.0	11	1.0	37.50129175238539	0.49050219036675885	10	0.9090909090909091	14.919370926548025	0.9329916640462662
chr12	53180241	53181366	ZNF740	CSAD	+	-	222	divergent_overlapping	53180703	53180925	1.0	65.4	118.0	11	1.0	23.833210067694726	0.5376032181881508	11	1.0	12.083402512872885	0.5477306680503355
chr12	53499411	53501529	MAP3K12	TARBP2	-	+	857	divergent_classic	53500063	53500920	0.603399433427762	64.4	57.5	11	1.0	19.81930908510178	0.503186382936864	11	1.0	13.415341647471577	0.6416296716945256
chr12	54279538	54281204	CBX5	HNRNPA1	-	+	59	divergent_classic	54280133	54280192	0.8415366146458584	56.2	47.5	11	1.0	18.547135283149807	0.37930111901325736	11	1.0	24.242308649359128	0.6017912597576693
chr12	55817541	55818040	SARNP	ORMDL2	-	+	316	divergent_classic	55817724	55818040	0.45691382765531063	59.6	17.0	11	1.0	17.143419975163965	0.7097899477898331	11	1.0	7.746639030933173	0.5505104594822473
chr12	56221739	56222014	RNF41	NABP2	-	+	81	divergent_classic	56221933	56222014	0.8872727272727273	60.7	22.0	11	1.0	36.39259705515932	0.6802600387456811	11	1.0	22.3965000913951	0.6938811960539724
chr12	57087014	57089333	NEMP1	NAB2	-	+	979	divergent_classic	57088063	57089042	1.0	59.2	162.0	11	1.0	17.382830427391706	0.41079790156922197	11	1.0	18.732187606320103	0.6096069565972945
chr12	57771491	57772958	EEF1AKMT3	METTL1	+	-	628	divergent_overlapping	57771491	57772119	0.6053169734151329	65.65	39.5	11	1.0	30.54233800683347	0.5000585627672619	11	1.0	16.208579526472732	0.80705600022178
chr12	95217058	95218221	FGD6	VEZT	-	+	263	divergent_classic	95217482	95217745	1.0	65.6	118.0	11	1.0	23.66055223611987	0.35864908696890485	11	1.0	12.482922126364382	0.3756161920405859
chr12	105235289	105236321	C12orf75	APPL2	+	-	914	divergent_overlapping	105235289	105236203	0.5833333333333334	70.3	69.0	11	1.0	28.909706247152414	0.5018672723312722	10	0.9090909090909091	9.995055176373326	0.671391413480872
chr12	106301928	106304279	TCP11L2	CKAP4	+	-	2351	divergent_overlapping	106301928	106304279	0.42407486176095277	67.8	91.0	11	1.0	20.006987168604898	0.6426582509263041	11	1.0	8.83062368820687	0.5082818109405864
chr12	108560719	108562983	SART3	ISCU	-	+	1181	divergent_classic	108561400	108562581	0.48542402826855124	66.3	55.5	11	1.0	29.111113640175265	0.4267517693886792	11	1.0	21.893497513135937	0.5586594758954642
chr12	109477326	109477833	KCTD10	UBE3B	-	+	42	divergent_classic	109477359	109477401	1.0	65.7	44.0	11	1.0	37.66576605804166	0.5113354467673354	11	1.0	30.861385299109077	0.8669025844408313
chr12	109573189	109573794	MVK	MMAB	+	-	326	divergent_overlapping	109573254	109573580	1.0	64.5	53.0	11	1.0	16.18842605019762	0.5586827947081096	9	0.8181818181818182	8.596797042267456	0.7635939054896841
chr12	110468074	110469378	FAM216A	GPN3	+	-	854	divergent_overlapping	110468414	110469268	1.0	64.6	116.0	11	1.0	27.190923442372924	0.5617201010565084	11	1.0	14.400638517431927	0.5849883821807902
chr12	111685442	111686255	BRAP	ACAD10	-	+	96	divergent_classic	111685956	111686052	1.0	66.3	82.0	11	1.0	38.344438173226756	0.48789967364677356	11	1.0	14.033175409245127	0.5851977862153552
chr12	112013101	112014052	TMEM116	ERP29	-	+	162	divergent_classic	112013185	112013347	1.0	67.5	94.0	11	1.0	30.414292394291554	0.5791620758842357	11	1.0	12.643169759546707	0.6792907913150125
chr12	112418350	112419439	PTPN11	RPL6	+	-	488	divergent_overlapping	112418350	112418838	0.721763085399449	67.0	86.0	11	1.0	38.15255815973593	0.5351898154584619	11	1.0	19.896110421115125	0.6391617527916651
chr12	113184956	113186126	DDX54	RITA1	-	+	46	divergent_classic	113185479	113185525	1.0	66.7	115.0	11	1.0	35.678378917275225	0.5662551180261987	11	1.0	18.00378763991522	0.6349748205625445
chr12	118371519	118377034	TAOK3	SUDS3	-	+	3647	divergent_classic	118372907	118376554	0.457298277425204	70.3	113.0	11	1.0	19.741042959659136	0.5210493352042944	11	1.0	6.253484662444854	0.4880371791916059
chr12	120446244	120446900	TRIAP1	GATC	-	+	59	divergent_classic	120446384	120446443	1.0	66.0	70.0	11	1.0	45.1406271907152	0.512124355549383	11	1.0	16.218518295081807	0.7424481852097411
chr12	120533479	120535052	RNF10	COQ5	+	-	955	divergent_overlapping	120533479	120534434	0.43738080101716464	72.1	83.0	11	1.0	22.377508677960552	0.5569051058750083	10	0.9090909090909091	7.739899776111486	0.5380088808960188
chr12	121399577	121400593	ANAPC5	RNF34	-	+	186	divergent_classic	121399896	121400082	1.0	67.7	103.0	11	1.0	27.268950458154574	0.43473250173490013	11	1.0	12.21313380439779	0.6581934520671104
chr12	121799916	121805484	RHOF	SETD1B	-	+	605	divergent_classic	121803403	121804008	1.0	57.9	393.0	11	1.0	21.596334303430776	0.4758689584962322	11	1.0	20.871259013118266	0.46379754035613896
chr12	122526714	122527245	RSRC2	KNTC1	-	+	245	divergent_classic	122527000	122527245	0.9491525423728814	56.5	44.0	11	1.0	16.30056142129324	0.27941563666637337	11	1.0	29.34619328412668	0.5585243801231832
chr12	122980059	122981649	ARL6IP4	ABCB9	+	-	1590	divergent_overlapping	122980059	122981649	0.7245283018867924	72.7	133.0	11	1.0	36.39409633622835	0.5912238850313501	10	0.9090909090909091	10.083768318263916	0.6403337056640421
chr12	123633550	123633932	GTF2H3	EIF2B1	+	-	28	divergent_overlapping	123633738	123633766	1.0	69.9	43.0	11	1.0	27.651048447097388	0.44767907244509525	10	0.9090909090909091	8.593975323986534	0.6599835916889855
chr12	123971844	123974181	ZNF664	CCDC92	+	-	987	divergent_overlapping	123971844	123972831	0.922122379118528	62.1	206.0	11	1.0	24.89007756166887	0.5937846172079712	10	0.9090909090909091	5.169712507721683	0.7742065544857093
chr13	27620046	27622112	LNX2	POLR1D	-	+	212	divergent_classic	27620529	27620741	1.0	67.2	188.0	11	1.0	26.83821662112782	0.4758768301071428	10	0.9090909090909091	10.740092823503263	0.5261857695457436
chr13	30617374	30618052	HMGB1	USPL1	-	+	95	divergent_classic	30617597	30617692	1.0	67.7	71.0	11	1.0	16.65531918159453	0.422081208505967	11	1.0	12.320252596518145	0.5320790502446423
chr13	39037551	39038793	PROSER1	NHLRC3	-	+	216	divergent_classic	39038089	39038305	0.7576489533011272	66.1	41.5	11	1.0	35.04491768561309	0.4233459724288265	11	1.0	14.306701079589034	0.5852355835641042
chr13	41060036	41061984	ELF1	WBP4	-	+	68	divergent_classic	41061440	41061508	1.0	60.2	160.0	11	1.0	31.113926817127115	0.4806519356819178	11	1.0	26.959776330170474	0.5193249682998506
chr13	44989153	44989867	NUFIP1	GPALPP1	-	+	57	divergent_classic	44989471	44989528	1.0	65.0	64.0	11	1.0	35.48104708083253	0.45364771146116434	11	1.0	16.628458707251347	0.6877757314674503
chr13	48037510	48038132	NUDT15	SUCLA2	+	-	243	divergent_overlapping	48037725	48037968	1.0	66.6	76.0	11	1.0	17.87554255088008	0.3842485472454178	11	1.0	19.394065134414863	0.7297509239511157
chr13	49443985	49444602	CAB39L	SETDB2	-	+	209	divergent_classic	49444064	49444273	1.0	66.0	57.0	11	1.0	17.85619682699938	0.4487092091811943	11	1.0	7.330897179894806	0.5801907152335621
chr13	72781565	72782474	DIS3	PIBF1	-	+	36	divergent_classic	72782096	72782132	1.0	61.1	80.0	11	1.0	34.37331294944847	0.48789705578681775	11	1.0	11.33857211695099	0.4809977267801926
chr13	75549302	75550132	COMMD6	UCHL3	-	+	43	divergent_classic	75549439	75549482	1.0	57.2	61.0	11	1.0	25.592264410447402	0.5027504810983967	11	1.0	16.789719781623276	0.5564255933666072
chr13	108218154	108218980	LIG4	ABHD13	-	+	23	divergent_classic	108218368	108218391	1.0	71.4	90.0	11	1.0	37.13911285493656	0.5842087666794943	11	1.0	14.142490227513111	0.5895886896486171
chr13	110712371	110716183	ING1	CARS2	+	-	868	divergent_overlapping	110712735	110713603	1.0	65.6	358.0	11	1.0	27.234043520314433	0.49634193492898787	11	1.0	13.383608704189488	0.6814008911671848
chr13	113208048	113210203	CUL4A	PCID2	+	-	523	divergent_overlapping	113208192	113208715	1.0	67.0	236.0	11	1.0	33.152258594601896	0.510547934765288	11	1.0	18.56483280141227	0.5648061172998281
chr13	113490163	113491310	DCUN1D2	TMCO3	-	+	69	divergent_classic	113490951	113491020	1.0	65.9	135.0	11	1.0	24.866549719498458	0.5782028623489178	11	1.0	7.495397570488907	0.6381748462746183
chr14	20454581	20455864	OSGEP	APEX1	-	+	101	divergent_classic	20455089	20455190	1.0	57.4	87.0	11	1.0	33.61581126182016	0.5855911003966782	11	1.0	28.827108765559004	0.7557471509983151
chr14	21476596	21477653	TOX4	RAB2B	+	-	364	divergent_overlapping	21476596	21476960	0.8495742667928098	60.8	60.0	11	1.0	31.403666727886524	0.4982585123948613	11	1.0	10.684328546632111	0.5042791506170033
chr14	23094769	23095614	C14orf119	ACIN1	+	-	110	divergent_overlapping	23095504	23095614	0.8828402366863906	62.6	78.0	11	1.0	22.161462744087853	0.4942304316619366	11	1.0	19.17100478898745	0.4651815119658879
chr14	24146682	24147906	RNF31	PSME2	+	-	888	divergent_overlapping	24146682	24147570	0.6478758169934641	68.3	66.0	11	1.0	28.853667269085836	0.5259545158244828	11	1.0	7.612300422153665	0.7662623130492103
chr14	24232367	24232786	NEDD8	GMPR2	-	+	54	divergent_classic	24232367	24232421	0.8257756563245824	58.7	28.0	11	1.0	20.268381065855735	0.2786299536395084	11	1.0	15.093842776316388	0.460360248123983
chr14	24299414	24300158	DHRS1	NOP9	-	+	69	divergent_classic	24299780	24299849	1.0	66.9	73.0	11	1.0	31.118791867311156	0.4153871804022522	9	0.8181818181818182	11.201727001526773	0.7489429649332345
chr14	31025105	31026850	AP4S1	STRN3	+	-	1296	divergent_overlapping	31025105	31026401	0.7232091690544412	69.4	113.0	11	1.0	36.978349158296965	0.4359989739484448	11	1.0	18.883627238470417	0.57174309762882
chr14	35121845	35122797	PRORP	PPP2R3C	+	-	672	divergent_overlapping	35121845	35122517	0.9212184873949579	56.1	64.0	11	1.0	24.1463370115892	0.35416203767289617	11	1.0	33.5513855902113	0.5079099402728077
chr14	49598466	49600147	LRR1	RPS29	+	-	404	divergent_overlapping	49598760	49599164	1.0	65.8	164.0	11	1.0	29.023534035078583	0.48886776127787085	11	1.0	19.777697441704188	0.6967180140234303
chr14	49620237	49621543	RPL36AL	MGAT2	-	+	172	divergent_classic	49620626	49620798	1.0	66.5	136.0	11	1.0	42.07058333540252	0.6016898611790797	11	1.0	19.61765611400789	0.6224033214751153
chr14	50311962	50312826	L2HGDH	DMAC2L	-	+	94	divergent_classic	50312229	50312323	1.0	63.9	84.0	11	1.0	26.96060769516597	0.8366677910460157	11	1.0	11.808442722700875	0.3953950405388226
chr14	57268388	57268986	EXOC5	AP5M1	-	+	18	divergent_classic	57268905	57268923	1.0	65.6	57.0	11	1.0	30.78845391740332	0.5528900170453854	11	1.0	13.015096199655648	0.47414616492539713
chr14	58426900	58427531	KIAA0586	TIMM9	+	-	147	divergent_overlapping	58427384	58427531	0.5309033280507132	62.7	28.0	11	1.0	35.59566675240291	0.4837708670670869	11	1.0	35.44672338350221	0.6674511874827883
chr14	59483742	59484809	L3HYPDH	JKAMP	-	+	34	divergent_classic	59484408	59484442	1.0	69.1	117.0	11	1.0	28.786273623171574	0.40001659409534135	11	1.0	19.93024634050753	0.8184079299478216
chr14	60980945	60981423	SLC38A6	TRMT5	+	-	57	divergent_overlapping	60981113	60981170	1.0	63.8	45.0	11	1.0	34.511638745530654	0.5194953953993129	11	1.0	18.907403416356708	0.4939019073675388
chr14	64503249	64505462	ZBTB1	ZBTB25	+	-	1502	divergent_overlapping	64503711	64505213	1.0	65.6	203.0	11	1.0	29.05177219700271	0.5706857777893543	11	1.0	22.23892647244371	0.5628321062747998
chr14	67359422	67360809	ATP6V1D	EIF2S1	-	+	62	divergent_classic	67360265	67360327	1.0	57.3	97.0	11	1.0	31.57537295225377	0.5961297268531384	11	1.0	22.862120963546534	0.6452238070088114
chr14	69397996	69398356	SLC39A9	ERH	+	-	285	divergent_overlapping	69398014	69398299	1.0	67.8	44.0	11	1.0	38.77101575838195	0.764510119588715	11	1.0	22.50994738767545	0.7976784578919063
chr14	73949925	73950655	COQ6	FAM161B	+	-	489	divergent_overlapping	73949925	73950414	0.6863013698630137	65.1	47.0	11	1.0	31.117541732257465	0.42847571967588716	11	1.0	20.305822598808888	1.0790989013650079
chr14	74018622	74019653	BBOF1	ENTPD5	+	-	51	divergent_overlapping	74019348	74019399	1.0	68.1	110.0	11	1.0	33.817019598675465	0.6016381883842099	10	0.9090909090909091	18.356844539430927	0.8490045037530712
chr14	74492977	74494204	ISCA2	NPC2	+	-	422	divergent_overlapping	74493755	74494177	1.0	65.0	97.0	11	1.0	30.425602726310363	0.5527460219107604	10	0.9090909090909091	9.496898257117175	0.7278677243223198
chr14	74712926	74713172	AREL1	FCF1	-	+	26	divergent_classic	74713117	74713143	1.0	62.2	19.0	11	1.0	31.833425023515225	0.6539121616330785	11	1.0	8.197116656836016	0.71253339505126
chr14	77457527	77458253	AHSA1	VIPAS39	+	-	83	divergent_overlapping	77457869	77457952	1.0	59.8	51.0	11	1.0	27.884032498447592	0.4532246010025822	11	1.0	16.072276428494135	0.4616514487865571
chr14	77707711	77708207	ALKBH1	SLIRP	-	+	47	divergent_classic	77708023	77708070	1.0	60.5	47.0	11	1.0	43.02716801650713	0.49308702935637194	11	1.0	8.391362525042027	0.5461453340000005
chr14	89954556	89954938	EFCAB11	TDP1	-	+	161	divergent_classic	89954777	89954938	0.7198952879581152	64.4	25.0	11	1.0	19.01460659939411	0.6559412482193187	10	0.9090909090909091	6.473356179448322	0.45775491574545346
chr14	92121205	92122678	NDUFB1	CPSF2	-	+	51	divergent_classic	92121917	92121968	1.0	61.0	116.0	11	1.0	41.93085667462651	0.5345875733840508	11	1.0	22.625193193171068	0.44084304636986493
chr14	96363129	96363997	ATG2B	GSKIP	-	+	110	divergent_classic	96363341	96363451	1.0	72.8	101.0	11	1.0	35.96465766226308	0.6358126969067139	11	1.0	7.653871324375597	0.5760332081656621
chr14	99479824	99481851	SETD3	CCNK	-	+	279	divergent_classic	99480889	99481168	1.0	65.0	202.0	11	1.0	28.684275810268968	0.5494838699068272	10	0.9090909090909091	10.413394277936844	0.6851286810179047
chr14	100376002	100376805	WDR25	WARS1	+	-	388	divergent_overlapping	100376417	100376805	0.7372353673723536	65.4	68.0	11	1.0	32.13978564339749	0.6815564141034014	11	1.0	14.575115265175613	0.438782579276208
chr14	102139260	102140640	WDR20	HSP90AA1	+	-	197	divergent_overlapping	102139502	102139699	1.0	67.7	112.0	11	1.0	42.57535874163898	0.5350910382224429	11	1.0	9.873892968970306	0.6784167322272233
chr14	102362819	102363536	CINP	TECPR2	-	+	24	divergent_classic	102362916	102362940	1.0	70.7	85.0	11	1.0	24.99924755463362	0.5623362013304307	10	0.9090909090909091	7.588542640548597	1.027976343232036
chr14	103561895	103563334	KLC1	BAG5	+	-	762	divergent_overlapping	103561895	103562657	0.9471855455177206	73.0	161.0	11	1.0	41.1286427490382	0.554359488909543	11	1.0	14.21381265291802	0.5695703941492561
chr14	103561971	103563334	BAG5	COA8	-	+	302	divergent_classic	103562657	103562959	1.0	73.0	161.0	11	1.0	40.95994913699378	0.5597117959727785	11	1.0	14.289874416028853	0.5747916112734512
chr14	103715041	103716615	XRCC3	ZFYVE21	-	+	225	divergent_classic	103715504	103715729	1.0	64.7	172.0	11	1.0	19.632380748040845	0.6148238685511203	9	0.8181818181818182	4.741502437500156	0.8073036686064765
chr15	40807045	40807680	ZFYVE19	DNAJC17	+	-	393	divergent_overlapping	40807085	40807478	1.0	65.0	54.0	11	1.0	33.23153840135316	0.6120815762620575	11	1.0	14.762237714578388	0.9164054193139562
chr15	42273200	42274206	GANC	TMEM87A	+	-	334	divergent_overlapping	42273200	42273534	0.5417495029821073	58.45	23.5	11	1.0	31.028170460627997	0.7191444438415366	11	1.0	34.478527179972254	0.7040935591743355
chr15	42490761	42491232	ZNF106	SNAP23	-	+	91	divergent_classic	42491141	42491232	0.6900212314225053	66.2	25.0	11	1.0	39.002950363751886	0.5098320176413922	11	1.0	20.070238305997304	0.5809079396803838
chr15	42548264	42548918	LRRC57	HAUS2	-	+	25	divergent_classic	42548802	42548827	1.0	68.2	68.0	11	1.0	41.90993290805207	0.49757437862026693	11	1.0	12.916290497601848	0.6224700944514459
chr15	43329632	43330755	LCMT2	ADAL	-	+	89	divergent_classic	43330582	43330671	1.0	63.8	112.0	11	1.0	27.525126299343267	0.5311942767334199	11	1.0	12.782040333907927	0.6286290511188155
chr15	43369220	43371468	TUBGCP4	ZSCAN29	+	-	1823	divergent_overlapping	43369220	43371043	0.4719750889679715	64.8	89.0	11	1.0	21.92570102212247	0.5088936031107193	10	0.9090909090909091	5.274584067919988	0.676055105680918
chr15	45402212	45403596	GATM	SPATA5L1	-	+	8	divergent_classic	45402327	45402335	1.0	70.4	156.0	11	1.0	39.9018796636267	0.6061157964038316	10	0.9090909090909091	11.620962023588662	0.6896539798612454
chr15	49155142	49155870	GALK2	COPS2	+	-	6	divergent_overlapping	49155655	49155661	1.0	61.8	51.0	11	1.0	41.61720808962295	0.5466020339640935	11	1.0	16.927590603144424	0.6487779343047572
chr15	49620788	49621285	FAM227B	DTWD1	-	+	107	divergent_classic	49620929	49621036	1.0	68.6	54.0	11	1.0	22.260958664703352	0.4414870492668381	11	1.0	13.320402683883417	0.6459426828456061
chr15	55318887	55319410	PIGB	RAB27A	+	-	154	divergent_overlapping	55318959	55319113	1.0	59.3	42.0	11	1.0	38.552495660057446	0.47219727077014206	11	1.0	25.644619859605587	0.6709695760454151
chr15	64093676	64094123	CIAO2A	SNX1	-	+	265	divergent_classic	64093857	64094122	1.0	58.6	31.0	11	1.0	18.2512757872866	0.29700750034603596	11	1.0	9.649243504550851	0.5187096069685997
chr15	66386557	66387625	TIPIN	MAP2K1	-	+	90	divergent_classic	66386746	66386836	1.0	66.1	110.0	11	1.0	26.68708087645855	0.5419020147388138	11	1.0	9.080092290323385	0.6051441641756407
chr15	77419283	77420411	PEAK1	HMG20A	-	+	267	divergent_classic	77420144	77420411	0.7641843971631206	66.2	100.0	11	1.0	29.60713352467344	0.6921270484839939	10	0.9090909090909091	9.49008533047056	0.8157075200158794
chr15	88467213	88468001	MRPL46	MRPS11	-	+	62	divergent_classic	88467390	88467452	1.0	60.2	56.0	11	1.0	36.71994753263383	0.509023838454499	11	1.0	23.10396554590541	0.5509000226809919
chr15	100601770	100603230	ASB7	LINS1	+	-	642	divergent_overlapping	100602588	100603230	0.7958904109589041	64.4	80.0	11	1.0	37.9482055521105	0.5743519806126708	11	1.0	10.836914887272863	0.64711811634481
chr16	1351333	1352347	TSR3	GNPTG	-	+	52	divergent_classic	1351878	1351930	1.0	71.5	116.0	11	1.0	41.94731124651124	0.5704682617392512	9	0.8181818181818182	5.678788382103544	0.9174723961114234
chr16	1826112	1827632	FAHD1	HAGH	+	-	191	divergent_overlapping	1826966	1827157	1.0	70.0	188.0	11	1.0	25.259179151291036	0.6010410722760546	10	0.9090909090909091	6.716137836867232	0.8195042294331986
chr16	3023877	3024442	THOC6	HCFC1R1	+	-	260	divergent_overlapping	3024026	3024286	1.0	68.5	58.0	11	1.0	18.605484494042802	0.6103458185469699	11	1.0	12.852881638202632	0.7549955436910476
chr16	3400716	3401667	ZSCAN32	ZNF174	-	+	149	divergent_classic	3401065	3401214	1.0	70.0	105.0	11	1.0	24.841590331602752	0.40777557891124866	11	1.0	8.025576861864367	0.8376022877476623
chr16	4425428	4426329	CORO7	DNAJA3	-	+	99	divergent_classic	4425705	4425804	1.0	59.0	75.0	11	1.0	33.88397651509397	0.4931006766454236	11	1.0	24.258878898391778	0.5335421904387241
chr16	4614005	4616781	UBALD1	MGRN1	-	+	1465	divergent_classic	4615027	4616492	1.0	62.0	242.0	11	1.0	15.851240543048773	0.5332115246929564	11	1.0	10.78657093245273	0.5286858662256584
chr16	4846605	4848242	UBN1	GLYR1	+	-	624	divergent_overlapping	4846664	4847288	1.0	71.8	214.0	11	1.0	39.01625626812434	0.6520298542177377	11	1.0	11.939223114624044	0.5500328557578963
chr16	10941639	10944906	DEXI	CLEC16A	-	+	2070	divergent_classic	10942468	10944538	0.5506580961126416	66.19999999999999	96.0	11	1.0	10.629152706981053	0.42057030035508036	9	0.8181818181818182	3.0101348440935567	0.4994220493253118
chr16	11976400	11977013	NPIPB2	SNX29	-	+	90	divergent_classic	11976643	11976733	1.0	59.9	53.0	11	1.0	36.16726909285038	0.48656706488536544	11	1.0	7.851288575465774	0.5421299877822033
chr16	14632659	14633509	PARN	BFAR	-	+	202	divergent_classic	14632728	14632930	1.0	66.5	70.0	11	1.0	34.83008087439825	0.5067352709726395	11	1.0	22.893012335131292	0.6722619876795601
chr16	15642949	15643300	MARF1	NDE1	-	+	112	divergent_classic	15643154	15643266	1.0	74.6	43.0	11	1.0	13.856280264294663	0.5938532289438512	11	1.0	9.073644709349743	0.6581447536609674
chr16	19521659	19524313	GDE1	CCP110	-	+	1687	divergent_classic	19522123	19523810	0.4129615674453655	65.6	48.0	11	1.0	12.674287787759772	0.46662817704014253	9	0.8181818181818182	3.9954516079384983	0.5337275311576282
chr16	20899867	20901294	LYRM1	ERI2	+	-	482	divergent_overlapping	20899867	20900349	0.7358093903293623	66.4	87.0	11	1.0	30.50540154174394	0.44510179286798973	11	1.0	22.75528108825092	0.6265236025856213
chr16	23641066	23641597	PALB2	DCTN5	-	+	144	divergent_classic	23641321	23641465	1.0	66.9	51.0	11	1.0	32.30010901415436	0.6867500794915653	11	1.0	11.29384465460288	0.46748405253827674
chr16	27549688	27550239	GTF3C1	KATNIP	-	+	219	divergent_classic	27549913	27550132	1.0	68.2	56.0	11	1.0	25.11195909804567	0.6550842456865934	10	0.9090909090909091	5.878149393080364	0.6013508295968979
chr16	28845883	28846818	TUFM	SH2B1	-	+	251	divergent_classic	28846348	28846599	1.0	67.3	84.0	11	1.0	41.309643085759284	0.5382684631029596	11	1.0	9.043501418844757	0.6452304859923546
chr16	29995257	29996553	INO80E	HIRIP3	+	-	360	divergent_overlapping	29995714	29996074	1.0	61.8	116.0	11	1.0	34.476483282447845	0.735145125671082	11	1.0	14.729082322827317	0.5979783521608315
chr16	56450953	56452199	OGFOD1	NUDT21	+	-	679	divergent_overlapping	56451520	56452199	0.7295345104333868	63.0	71.0	11	1.0	32.72486610511784	0.4519023038588244	11	1.0	9.79574919404849	0.5506232341841273
chr16	57185574	57186671	PSME3IP1	RSPRY1	-	+	20	divergent_classic	57186116	57186136	1.0	60.0	87.0	11	1.0	29.965253958612326	0.4705203823189356	11	1.0	14.740759965793488	0.5552762334876812
chr16	57447083	57447754	CIAPIN1	COQ9	-	+	4	divergent_classic	57447420	57447424	1.0	70.8	69.0	11	1.0	35.499477902907145	0.6868484112127148	11	1.0	12.562162322626147	0.5682964000460545
chr16	66552365	66552816	TK2	CKLF	-	+	18	divergent_classic	66552544	66552562	1.0	56.5	36.0	11	1.0	15.555043211960788	0.44409145548545326	10	0.9090909090909091	6.373429506909805	0.5937986899949742
chr16	66934126	66935021	CIAO2B	CES2	-	+	20	divergent_classic	66934423	66934443	1.0	64.1	85.0	11	1.0	34.35935733739363	0.4667928727098009	10	0.9090909090909091	15.648181258040232	0.7457234224617054
chr16	67159643	67160136	TRADD	FBXL8	-	+	22	divergent_classic	67159909	67159931	1.0	72.4	55.0	11	1.0	42.15155882555775	0.7729738036708999	9	0.8181818181818182	6.595679184656763	0.7658225261054136
chr16	69131290	69133005	UTP4	CHTF8	+	-	1298	divergent_overlapping	69131290	69132588	0.5731778425655977	74.3	120.0	11	1.0	39.06475905209672	0.5593428581347952	11	1.0	13.981345717794266	0.5561974035647171
chr16	69337995	69339979	NIP7	COG8	+	-	1588	divergent_overlapping	69337995	69339583	0.41381048387096775	65.7	91.0	11	1.0	20.633912801994857	0.3845052097104299	10	0.9090909090909091	7.449995764408436	0.48421677003349384
chr16	70289224	70289707	DDX19B	AARS1	+	-	45	divergent_overlapping	70289662	70289707	0.7494824016563147	71.5	37.0	11	1.0	23.303216871337636	0.8031363615985424	11	1.0	19.38397454240339	0.48127684588737335
chr16	70523186	70523790	COG4	SF3B3	-	+	230	divergent_classic	70523560	70523790	0.6572847682119205	60.2	30.0	11	1.0	31.475582371315703	0.5315261806707072	11	1.0	16.916204864374013	0.5742451111438281
chr16	71808020	71809201	ATXN1L	AP1G1	+	-	763	divergent_overlapping	71808438	71809201	0.9974597798475868	58.8	91.0	11	1.0	43.782629340039705	0.452608505207055	11	1.0	36.42066075091464	0.6184407117539965
